Z,N,BE_exp,BE_misr,BE_pymisr,misr_residuals,pymisr_residuals
16,28,351.82488,349.45802199783964,349.53461677751244,-2.3668580021603702,-2.2902632224875674
16,22,321.05364000000003,320.88904719038703,318.54891902883395,-0.16459280961299783,-2.50472097116608
16,21,313.01763199999994,313.8906410469714,311.36941297347835,0.8730090469714469,-1.6482190265215877
16,20,308.71403999999995,306.1049961369167,303.5095943156202,-2.6090438630832296,-5.2044456843797775
17,28,368.19,366.3781706548723,366.4943592604612,-1.8118293451277054,-1.6956407395388169
17,28,368.19,366.3781706548723,366.4943592604612,-1.8118293451277054,-1.6956407395388169
17,24,344.933,345.8173991691723,344.7735856399574,0.8843991691722977,-0.15941436004260368
17,26,357.9277,357.2216694771509,356.6710509753552,-0.7060305228491188,-1.2566490246448438
17,26,357.9277,357.2216694771509,356.6710509753552,-0.7060305228491188,-1.2566490246448438
17,27,362.318,362.0611638943432,361.82703530782004,-0.25683610565675963,-0.49096469217994354
17,27,362.318,362.0611638943432,361.82703530782004,-0.25683610565675963,-0.49096469217994354
17,20,317.1004192,314.75382054533384,313.6515407601486,-2.3465986546661384,-3.4488784398513985
17,21,323.208316,323.69258772019356,322.4473558594291,0.48427172019353293,-0.7609601405709441
17,21,323.208316,323.69258772019356,322.4473558594291,0.48427172019353293,-0.7609601405709441
17,22,331.2816,331.80775330962,330.5375380009703,0.5261533096199855,-0.744061999029725
17,23,337.112,339.1635097527951,337.966130408665,2.0515097527950843,0.8541304086649575
17,17,285.56500040000003,282.22999999999996,282.52704249796693,-3.3350004000000695,-3.0379579020330993
17,17,285.56500040000003,282.22999999999996,282.52704249796693,-3.3350004000000695,-3.0379579020330993
17,17,285.56500040000003,282.22999999999996,282.52704249796693,-3.3350004000000695,-3.0379579020330993
17,18,298.209765,294.10879397279456,293.7463840745102,-4.100971027205446,-4.463380925489787
17,19,306.7895591999999,304.9195374190754,304.102051376273,-1.8700217809245032,-2.6875078237269463
17,19,306.7895591999999,304.9195374190754,304.102051376273,-1.8700217809245032,-2.6875078237269463
17,13,224.166,221.69926929468625,227.6515344632044,-2.4667307053137506,3.4855344632044023
17,15,258.316992,254.83597471335295,257.23864892531395,-3.4810172866470737,-1.0783430746860745
17,15,258.316992,254.83597471335295,257.23864892531395,-3.4810172866470737,-1.0783430746860745
17,15,258.316992,254.83597471335295,257.23864892531395,-3.4810172866470737,-1.0783430746860745
17,16,274.056948,269.1788956035381,270.38092964816656,-4.8780523964618965,-3.67601835183342
17,12,206.741,202.55414220394127,211.0284931817245,-4.186857796058746,4.2874931817245
18,32,402.7,397.67937402175784,399.33056335932906,-5.020625978242151,-3.3694366406709264
18,32,402.7,397.67937402175784,399.33056335932906,-5.020625978242151,-3.3694366406709264
18,32,402.7,397.67937402175784,399.33056335932906,-5.020625978242151,-3.3694366406709264
18,34,407.004,403.21538111658117,405.5033175236708,-3.788618883418849,-1.5006824763292457
18,34,407.004,403.21538111658117,405.5033175236708,-3.788618883418849,-1.5006824763292457
18,34,407.004,403.21538111658117,405.5033175236708,-3.788618883418849,-1.5006824763292457
18,34,407.004,403.21538111658117,405.5033175236708,-3.788618883418849,-1.5006824763292457
